Rank,Change,Prospect,College,P1,Date
46,--,Richard LeCounte,Georgia,S,05/26/19
47,--,T.J. Vasher,Texas Tech,WRF,05/26/19
48,--,Jake Breeland,Oregon,TE,05/26/19
49,--,Mekhi Becton,Louisville,OT,05/26/19
50,--,Tre'Vour Wallace-Simms,Missouri,OG,05/26/19
51,--,Julian Okwara,Notre Dame,EDGE,05/26/19
52,--,Anfernee Jennings,Alabama,EDGE,05/26/19
53,--,Khalid Kareem,Notre Dame,EDGE,05/26/19
54,--,Shea Patterson,Michigan,QB,05/26/19
55,--,Eno Benjamin,Arizona State,RBF,05/26/19
56,--,Tarik Black,Michigan,WRF,05/26/19
57,--,Najee Harris,Alabama,RBF,05/26/19
58,--,Javon Kinlaw,South Carolina,DL3T,05/26/19
59,--,Justin Madubuike,Texas A&M,Dl3T,05/26/19
60,--,Curtis Weaver,Boise State,EDGE,05/26/19
61,--,Kenny Willekes,Michigan State,EDGE,05/26/19
62,--,Tommy Kraemer,Notre Dame,OG,05/26/19
63,--,A.J. Terrell,Clemson,CB,05/26/19
64,--,Steven Montez,Colorado,QB,05/26/19
65,--,Michael Pinckney,Miami,OLB,05/26/19
66,--,Lavert Hill,Michigan,CB,05/26/19
67,--,Brandon Jones,Texas,S,05/26/19
68,--,Jalen Thompson,Washington State,S,05/26/19
69,--,Trey Adams,Washington,OT,05/26/19
70,--,J.R. Reed,Georgia,S,05/26/19
71,--,K.J. Hill,Ohio State,WRF,05/26/19
72,--,K'Lavon Chaisson,LSU,EDGE,05/26/19
73,--,Alaric Jackson,Iowa,OT,05/26/19
74,--,Alton Robinson,Syracuse,EDGE,05/26/19
75,--,Jeffrey Okudah,Ohio State,CB,05/26/19
76,--,Zack Moss,Utah,RBF,05/26/19
77,--,Calvin Throckmorton,Oregon,OT,05/26/19
78,--,Matt Hennessy,Temple,OC,05/26/19
79,--,Malik Harrison,Ohio State,ILB,05/26/19
80,--,Cam Akers,Florida State,RBF,05/26/19
81,--,Marlon Davidson,Auburn,DL5T,05/26/19
82,--,Dontavious Jackson,Florida State,ILB,05/26/19
83,--,K.J. Costello,Stanford,QB,05/26/19
84,--,Willie Gay Jr.,Mississippi State,OLB,05/26/19
85,--,DeVonta Smith,Alabama,WRF,05/26/19
86,--,D'Andre Swift,Georgia,RBC,05/26/19
87,--,Shyheim Carter,Alabama,CB,05/26/19
88,--,Ben Bredeson,Michigan,OG,05/26/19
89,--,A.J. Dillon,Boston College,RBF,05/26/19
90,--,Troy Dye,Oregon,ILB,05/26/19
91,--,Saahdiq Charles,LSU,OT,05/26/19
92,--,Jordan Fuller,Ohio State,S,05/26/19
93,--,Kenny Cooper,Georgia Tech,OC,05/26/19
94,--,Joe Bachie,Michigan State,ILB,05/26/19
95,--,Marvin Wilson,Florida State,DL1T,05/26/19
96,--,Chubba Hubbard,Oklahoma State,RBF,05/26/19
97,--,Shane Lemieux,Oregon,OG,05/26/19
98,--,Anthony Hines,Texas A&M,OLB,05/26/19
99,--,Colby Parkinson,Stanford,TE,05/26/19
100,--,Marquez Callaway,Tennessee,WRF,05/26/19
101,--,Kenneth Murray,Oklahoma,OLB,05/26/19
102,--,Darrell Taylor,Tennessee,EDGE,05/26/19
103,--,Cohl Cabral,Arizona State,OC,05/26/19
104,--,Jalen Hurts,Oklahoma,QB,05/26/19
105,--,Liam Eichenberg,Notre Dame,OT,05/26/19
106,--,Glen Logan,LSU,DL5T,05/26/19
107,--,David Dowell,Michigan State,S,05/26/19
108,--,Mike Hampton,South Florida,CB,05/26/19
109,--,Paddy Fisher,Northwestern,ILB,05/26/19
110,--,Tuf Borland,Ohio State,ILB,05/26/19
111,--,Prince Tega Wanogho,Auburn,OT,05/26/19
112,--,Grant Calcaterra,Oklahoma,TE,05/26/19
113,--,J.J. Taylor,Arizona,RBC,05/26/19
114,--,Zach Robertson,Arizona State,OG,05/26/19
115,--,Ke'Shawn Vaughn,Vanderbilt,RBF,05/26/19
116,--,Alohi Gilman,Notre Dame,S,05/26/19
117,--,Brian Lewerke,Michigan State,QB,05/26/19
118,--,Chase Claypool,Notre Dame,WRF,05/26/19
119,--,Chase Lucas,Arizona State,CB,05/26/19
120,--,Solomon Kindley,Georgia,OG,05/26/19
121,--,Sean Pollard,Clemson,OG,05/26/19
122,--,Josh Kaindoh,Florida State,EDGE,05/26/19
123,--,T.J. Carter,Memphis,CB,05/26/19
124,--,Mustafa Johnson,Colorado,DL3T,05/26/19
125,--,Britain Covey,Utah,WRS,05/26/19
126,--,Jared Pinkney,Vanderbilt,TE,05/26/19
127,--,Jabari Zuniga,Florida,EDGE,05/26/19
128,--,Demetris Robertson,Georgia,WRF,05/26/19
129,--,Lucas Niang,TCU,OT,05/26/19
130,--,Zack Shackelford,Texas,OC,05/26/19
131,--,Jake Hanson,Oregon,OC,05/26/19
132,--,Jonathon Cooper,Ohio State,EDGE,05/26/19
133,--,Jeffrey McCulloch,Texas,ILB,05/26/19
134,--,Damon Arnette,Ohio State,CB,05/26/19
135,--,McTelvin Agim,Arkansas,DL5T,05/26/19
136,--,Julian Blackmon,Utah,S,05/26/19
137,--,Alex Leatherwood,Alabama,OT,05/26/19
138,--,Marcus Keyes,Oklahoma State,OG,05/26/19
139,--,Cesar Ruiz,Michigan,OC,05/26/19
140,--,Michael Warren II,Cincinnati,RBF,05/26/19
141,--,Tyler Vaughns,USC,WRF,05/26/19
142,--,Larry Rountree III,Missouri,RBF,05/26/19
143,--,Scott Lashley,Alabama,OT,05/26/19
144,--,Mitchell Wilcox,South Florida,TE,05/26/19
145,--,Carter Coughlin,Minnesota,OLB,05/26/19
146,--,Anthony McFarland Jr.,Maryland,RBC,05/26/19
147,--,Jon Runyan,Michigan,OT,05/26/19
148,--,Nigel Warrior,Tennessee,S,05/26/19
149,--,Logan Stenberg,Kentucky,OG,05/26/19
150,--,Lorenzo Neal,Purdue,DL3T,05/26/19
151,--,Antoine Brooks Jr.,Maryland,S,05/26/19
152,--,Benito Jones,Ole Miss,DL1T,05/26/19
153,--,Denzel Mims,Baylor,WRF,05/26/19
154,--,Rodney Smith,Minnesota,RBF,05/26/19
155,--,Nate Stanley,Iowa,QB,05/26/19
156,--,Drew Richmond,USC,OT,05/26/19
157,--,DeMarkus Acy,Missouri,CB,05/26/19
158,--,Harrison Bryant,Florida Atlantic,TE,05/26/19
159,--,Jonathan Garvin,Miami,EDGE,05/26/19
160,--,Levonta Taylor,Florida State,CB,05/26/19
161,--,Erroll Thompson,Mississippi State,ILB,05/26/19
162,--,Richard Moore,SMU,OLB,05/26/19
163,--,Joe Gaziano,Northwestern,DL5T,05/26/19
164,--,Lamical Perine,Florida,RBF,05/26/19
165,--,Krys Barnes,UCLA,ILB,05/26/19
166,--,Christian Rector,USC,EDGE,05/26/19
167,--,Theo Howard,UCLA,WRF,05/26/19
168,--,Reggie Floyd,Virginia Tech,S,05/26/19
169,--,Robert Windsor,Penn State,DL3T,05/26/19
170,--,Pete Werner,Ohio State,ILB,05/26/19
171,--,Isaiahh Loudermilk,Wisconsin,DL5T,05/26/19
172,--,Julian Rochester,Georgia,DL3T,05/26/19
173,--,Dylan Singleton,Duke,S,05/26/19
174,--,D'Eriq King,Houston,QB,05/26/19
175,--,Corey Bethley,TCU,DL3T,05/26/19
176,--,Jedrick Wills,Alabama,OT,05/26/19
177,--,Gus Lavaka,Oregon State,OG,05/26/19
178,--,Scottie Phillips,Mississippi,RBC,05/26/19
179,--,Cam Brown,Penn State,ILB,05/26/19
180,--,Frederick Mauigoa,Washington State,OC,05/26/19
181,--,Sam Ehlinger,Texas,QB,05/26/19
182,--,Essang Bassey,Wake Forest,CB,05/26/19
183,--,Josh Uche,Michigan,OLB,05/26/19
184,--,Joshua Kelley,UCLA,RBC,05/26/19
185,--,Jared Rice,Fresno State,TE,05/26/19
186,--,Tedarrell Slaton,Florida,DL1T,05/26/19
187,--,Rayshard Ashby,Virginia Tech,ILB,05/26/19
188,--,Tremayne Anchrum,Clemson,OG,05/26/19
189,--,Marlon Tuipulotu,USC,DL3T,05/26/19
190,--,John Simpson,Clemson,OG,05/26/19
191,--,Nick Westbrook,Indiana,WRF,05/26/19
192,--,T.J. Brunson,South Carolina,ILB,05/26/19
193,--,Kenny Robinson Jr.,West Virginia,S,05/26/19
194,--,Paulson Adedo,Stanford,CB,05/26/19
195,--,Mohamed Barry,Nebraska,ILB,05/26/19
196,--,Colton Prater,Texas A&M,OT,05/26/19
197,--,Khalil Davis,Nebraska,DL1T,05/26/19
198,--,James Proche,SMU,WRF,05/26/19
199,--,Patrick Johnson,Tulane,EDGE,05/26/19
200,--,Jordan Elliott,Missouri,DL3T,05/26/19
201,--,Scott Frantz,Kansas State,OT,05/26/19
202,--,Juwan Washington,San Diego State,RBC,05/26/19
203,--,Colton Jackson,Arkansas,OT,05/26/19
204,--,Tavien Feaster,Clemson,RBF,05/26/19
205,--,Dalton Keene,Virginia Tech,TE,05/26/19
206,--,Blake Brandel,Oregon State,OT,05/26/19
207,--,Kellen Mond,Texas A&M,QB,05/26/19
208,--,Ben Petrula,Boston College,OT,05/26/19
209,--,Cameron Dantzler,Mississippi State,CB,05/26/19
210,--,Raequan Williams,Michigan State,DL3T,05/26/19
211,--,Tyler Johnson,Minnesota,WRF,05/26/19
212,--,Nyles Pinckney,Clemson,DL3T,05/26/19
213,--,K'Von Wallace,Clemson,S,05/26/19
214,--,Jordan Cronkrite,South Florida,RBF,05/26/19
215,--,Tyler Clark,Georgia,DL1T,05/26/19
216,--,John Molchon,Boise State,OG,05/26/19
217,--,Steven Gonzalez,Penn State,OG,05/26/19
218,--,Thomas Graham Jr.,Oregon,CB,05/26/19
219,--,Leki Fotu,Utah,DL1T,05/26/19
220,--,Braden Mann,Texas A&M,P,05/26/19
221,--,Evan Weaver,California,ILB,05/26/19
222,--,Kiel Pollard,South Carolina,FB,05/26/19
223,--,Josiah Deguara,Cincinnati,TE,05/26/19
224,--,Patrick Queen,LSU,ILB,05/26/19
225,--,Dante Olson,Montana,ILB,05/26/19
226,--,Trey Sermon,Oklahoma,RBF,05/26/19
227,--,Hakeem Adeniji,Kansas,OT,05/26/19
228,--,Josiah Scott,Michigan State,CB,05/26/19
229,--,Daelin Hayes,Notre Dame,DL5T,05/26/19
230,--,Matt Womack,Alabama,OG,05/26/19
231,--,Jet Toner,Stanford,PK,05/26/19
232,--,Feleipe Franks,Florida,QB,05/26/19
233,--,Jordan Johnson,Central Florida,OC,05/26/19
234,--,Rashad Weaver,Pittsburgh,EDGE,05/26/19
235,--,Kennedy McKoy,West Virginia,RBC,05/26/19
236,--,Justin Herron,Wake Forest,OT,05/26/19
237,--,Colin Schooler,Arizona,ILB,05/26/19
238,--,Jason Strowbridge,North Carolina,DL3T,05/26/19
239,--,David Reese II,Florida,ILB,05/26/19
240,--,Dan Moore,Texas A&M,OT,05/26/19
241,--,Neville Gallimore,Oklahoma,DL1T,05/26/19
242,--,Ben Cleveland,Georgia,OG,05/26/19
243,--,Tommy Townsend,Florida,P,05/26/19
244,--,Rashad Robinson,James Madison,CB,05/26/19
245,--,McKenzie Milton,Central Florida,QB,05/26/19
246,--,Khalil Brooks,MTSU,OLB,05/26/19
247,--,Richie Grant,Central Florida,S,05/26/19
248,--,Robert Landers,Ohio State,DL3T,05/26/19
249,--,Luc Bequette,California,DL5T,05/26/19
250,--,Tyrie Cleveland,Florida,WRF,05/26/19
251,--,Keisean Lucier-South,UCLA,EDGE,05/26/19
252,--,Bobby Roundtree,Illinois,EDGE,05/26/19
253,--,Leo Lewis,Mississippi State,ILB,05/26/19
254,--,Juju Hughes,Fresno State,S,05/26/19
255,--,Reggie Corbin,Illinois,RBC,05/26/19
256,--,Justin Polu,UNLV,OG,05/26/19
257,--,Cale Garrett,Missouri,ILB,05/26/19
258,--,Justin Jefferson,LSU,WRF,05/26/19
259,--,Jay Tufele,USC,DL3T,05/26/19
260,--,Logan Wilson,Wyoming,ILB,05/26/19
261,--,Dicaprio Bootle,Nebraska,CB,05/26/19
262,--,Kamal Martin,Minnesota,ILB,05/26/19
263,--,Dominik Eberle,Utah State,PK,05/26/19
264,--,Levi Onwuzurike,Washington,DL3T,05/26/19
265,--,Davion Taylor,Colorado,OLB,05/26/19
266,--,Jordan Williams,Clemson,DL3T,05/26/19
267,--,Bryan Edwards,South Carolina,WRF,05/26/19
268,--,Jake Verity,Eastern Carolina,PK,05/26/19
269,--,Chauncey Rivers,Mississippi State,DL5T,05/26/19
270,--,Levante Bellamy,Western Michigan,RBC,05/26/19
271,--,Jason Huntley,New Mexico State,RBC,05/26/19
272,--,Jordon Scott,Oregon,DL1T,05/26/19
273,--,Bravvion Roy,Baylor,DL1T,05/26/19
274,--,Marcus Norman,South Florida,OT,05/26/19
275,--,Breiden Fehoko,LSU,DL5T,05/26/19
276,--,Kylan Wilborn,Arizona,EDGE,05/26/19
277,--,Dane Jackson,Pitt,CB,05/26/19
278,--,Jake Bentley,South Carolina,QB,05/26/19
279,--,Luke Farrell,Ohio State,TE,05/26/19
280,--,De'Jon Harris,Arkansas,ILB,05/26/19
281,--,Blake Gillikin,Penn State,P,05/26/19
282,--,Jahad Woods,Washington State,OLB,05/26/19
283,--,Darrynton Evans,Appalachian State,RBC,05/26/19
284,--,Mark Gilbert,Duke,CB,05/26/19
285,--,Colton McKivitz,West Virginia,OT,05/26/19
286,--,Chase Allen,Iowa State,TE,05/26/19
287,--,Khaleke Hudson,Michigan,OLB,05/26/19
288,--,Reggie Walker,Kansas State,EDGE,05/26/19
289,--,Raymond Calais,LSU,RBC,05/26/19
290,--,Marcel Spears Jr.,Iowa State,OLB,05/26/19
291,--,Caleb Kelly,Oklahoma,OLB,05/26/19
292,--,Daniel Bituli,Tennessee,ILB,05/26/19
293,--,Darnay Holmes,UCLA,CB,05/26/19
294,--,Bryan London II,Texas State,OLB,05/26/19
295,--,Keandre Jones,Maryland,OLB,05/26/19
296,--,Luke Juriga,Western Michigan,OT,05/26/19
297,--,Dustin Woodard,Memphis,OG,05/26/19
298,--,Mike Panasiuk,Michigan State,DL3T,05/26/19
299,--,Kalija Lipscomb,Vanderbilt,WRF,05/26/19
300,--,Brendon Hayes,Central Florida,DL5T,05/26/19
